
Configuration FH_rang_c=0.945_n=100
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
9 3 100 0.217068 3 3.88636 2 2.20467 17.3636 24.4703 17.3636 2 1.577 3 35.03 2 16.6337 0.089 2 0.094 1 0.0906667 0.906 1 0.911 2 0.909333
10 3 100 0.217069 3 3.88584 2 2.20665 17.3636 24.4703 17.3636 2 1.622 3 35.173 2 16.6763 0.088 1 0.089 2 0.0886667 0.911 2 0.912 1 0.911333




Configuration FH_rang_c=0.955_n=1000
Run# NI F_found I_min NI_I_min I_max NI_I_max I_avg GR_early GR_avg GR_late NI_GE_late s_min NI_s_min s_max NI_s_max s_avg RR_min NI_RR_min RR_max NI_RR_max RR_avg Teta_min NI_Teta_min Teta_max NI_Teta_max Teta_avg
1 3 100 0.379686 3 3.931 2 2.2347 19.4222 21.8555 19.4222 2 4.539 3 32.981 2 16.6797 0.104 1 0.105 2 0.104667 0.895 2 0.896 1 0.895333
2 3 100 0.377878 3 3.94349 2 2.23468 19.4444 21.8624 19.4444 2 4.284 3 33.011 2 16.626 0.104 2 0.105 1 0.104667 0.895 1 0.896 2 0.895333
3 3 100 0.379689 3 3.91855 2 2.2223 19.4222 21.8555 19.4222 2 4.537 3 33.215 2 16.7033 0.105 1 0.105 1 0.105 0.895 1 0.895 1 0.895
4 3 100 0.379671 3 3.93011 2 2.23522 19.4222 21.8555 19.4222 2 4.553 3 32.835 2 16.68 0.105 2 0.108 1 0.106 0.892 1 0.895 2 0.894
5 3 100 0.379668 3 3.93598 2 2.23836 19.4222 21.8555 19.4222 2 4.429 3 33.004 2 16.6233 0.104 3 0.107 1 0.105333 0.893 1 0.896 3 0.894667
6 3 100 0.377642 3 3.90807 2 2.25727 19.4444 21.8624 19.4444 2 3.933 3 32.949 2 16.6817 0.102 1 0.105 3 0.103667 0.895 3 0.898 1 0.896333
7 3 100 0.37967 3 3.92896 2 2.24071 19.4222 21.8555 19.4222 2 4.427 3 32.919 2 16.5957 0.103 1 0.105 2 0.104333 0.895 2 0.897 1 0.895667
8 3 100 0.379671 3 3.94311 2 2.23138 19.4222 21.8555 19.4222 2 4.553 3 32.779 2 16.6463 0.103 1 0.105 2 0.104333 0.895 2 0.897 1 0.895667
